date,QQQ,AAOI,ACHR,ADBE,ALM,AMAT,AMZN,APLD,APP,ASML,ASTS,AVAV,AVGO,BE,CEG,COIN,CRCL,CRDO,CRML,CRWV,CVNA,FIGR,FSLR,FSLY,GEV,GLD,GOOGL,HOOD,IONQ,IREN,JOBY,KTOS,LITE,LLY,LRCX,META,MOD,MP,MRVL,MU,NBIS,NEE,NFLX,NKE,NOK,NVDA,NVT,NXT,OKLO,ORCL,PL,PLTR,QBTS,QCOM,RDW,RKLB,SLV,TSLA,TSM,USAR,USO,VIAV,VRT,VST
2020-01-16,213.98033142,14.34500027,,345.38000488,0.73124999,59.51491547,93.89700317,,,283.88159180,9.94999981,71.51000214,26.31888390,9.27999973,,,,,,,17.44199944,,53.93000031,24.07999992,,146.30999756,71.82453918,,,,,19.50000000,77.75000000,130.94300842,28.44559860,219.83946228,7.57999992,,27.47403717,56.24591446,,53.21540833,33.86199951,92.89828491,3.77273703,6.18802834,22.75631142,,,50.54681015,,,,79.12325287,,,16.77000046,34.23266602,52.35371399,,98.31999969,15.88000011,11.60826206,20.18927765
2020-01-17,215.03929138,14.11999989,,349.73999023,0.73124999,59.17595291,93.23600006,,,282.90093994,9.94999981,70.83999634,26.46802711,9.71000004,,,,,,,16.79999924,,53.52000046,24.40999985,,146.58000183,73.27868652,,,,,19.73999977,76.95999908,129.23022461,28.63619232,220.20623779,7.65000010,,27.70745087,56.22640228,,53.45376587,33.96699905,93.94076538,3.71884036,6.19672728,22.63239861,,,50.27324295,,,,82.67473602,,,16.81999969,34.03333282,52.20222855,,98.63999939,15.68000031,11.33969021,19.96302032
2020-01-21,214.94302368,13.69999981,,350.00000000,0.81900001,59.50549698,94.59999847,,,281.35452271,9.97999954,69.51999664,26.40631676,9.14000034,,,,,,,16.70599937,,51.54999924,24.44000053,,146.74000549,73.41392517,,,,,18.79999924,78.08000183,130.46160889,28.69941521,219.51235962,7.55000019,,26.75436401,57.50383377,,54.18997955,33.81100082,93.98568726,3.70985842,6.16341591,22.52618790,,,50.35530472,,,,81.49375916,,,16.63999939,36.47999954,51.89923859,,97.91999817,15.72999954,11.43916130,19.76286888
2020-01-22,215.51097107,14.25000000,,350.05999756,0.81000000,60.15516663,94.37300110,,,279.32745361,10.00000000,68.55000305,26.82632256,9.27999973,,,,,,,16.74399948,,50.56000137,24.65999985,,146.78999329,73.49415588,,,,,18.90999985,78.79000092,131.06343079,28.94673157,219.39340210,7.46000004,,27.01694870,57.69886017,,54.82492447,32.59999847,93.90480804,3.67392778,6.21736002,23.02185059,,,49.89935303,,,,80.14040375,,,16.65999985,37.97066879,51.99726105,,95.19999695,15.56999969,11.52868557,19.78897858
2020-01-23,216.20408630,14.22999954,,351.76000977,1.01250005,60.15516663,94.22899628,,,277.50759888,9.98999977,68.01000214,27.39890099,9.15999985,,,,,,,16.58799934,,52.02000046,25.18000031,,147.11999512,73.53477478,,,,,18.96999931,79.01000214,130.73936462,29.04714012,217.84695435,7.46000004,,27.25036049,57.72811890,,54.86289978,34.95999908,92.58373260,3.64697886,6.28572130,23.05303955,,,50.13645172,,,,79.30425262,,,16.61000061,38.14666748,51.22198868,,93.27999878,15.77000046,11.63810253,19.98042107
2020-01-24,214.38468933,13.96000004,,351.36999512,1.03050005,58.37564468,93.08200073,,,278.93136597,9.98999977,67.93000031,27.77176094,9.06999969,,,,,,,16.62199974,,51.93999863,24.01000023,,147.97999573,72.61749268,,,,,18.82999992,78.45999908,128.75801086,28.50045013,216.04280090,7.44999981,,26.55986214,56.32391739,,55.63073349,35.31600189,91.69400787,3.63799691,6.22655821,22.83917427,,,49.30661774,,,,77.27855682,,,16.90999985,37.65466690,51.44475937,,91.44000244,15.76000023,11.84699440,19.29294777
2020-01-27,209.95643616,13.26000023,,346.89999390,0.95625001,55.59809494,91.41699982,,,268.04119873,9.98999977,67.37999725,26.48860741,8.27999973,,,,,,,16.94000053,,50.49000168,22.86000061,,148.99000549,70.91172791,,,,,18.80999947,75.88999939,128.05439758,27.31502533,212.99951172,7.23000002,,25.15940857,54.03235626,,56.26779556,34.28799820,90.08532715,3.53918648,5.97101355,22.33123398,,,48.04819107,,,,75.03735352,,,16.88999939,37.20133209,49.24367905,,88.80000305,15.36999989,12.09566975,18.84042358
2020-01-28,213.18135071,12.93999958,,354.63000488,0.96749997,56.67145920,92.66249847,,,273.60412598,10.03999996,67.40000153,27.28403854,8.63000011,,,,,,,16.98800087,,51.11000061,23.65999985,,147.66000366,71.84138489,,,,,19.00000000,77.73999786,128.93391418,28.04952431,215.89410400,7.40000010,,25.60678291,55.06599808,,56.07161331,34.85200119,90.23812866,3.61104846,6.16416359,22.49164391,,,48.75035858,,,,76.84754181,,,16.31999969,37.79333115,50.87443924,,90.00000000,15.40999985,12.44381905,18.74470520
2020-01-29,213.52789307,11.93000031,,351.66000366,0.96749997,56.32307434,92.90000153,,,279.22372437,10.01000023,66.93000031,27.21546745,8.40999985,,,,,,,16.35000038,,50.90000153,24.29999924,,148.46000671,72.14846802,,,,,18.79999924,77.59999847,129.54501343,27.72690582,221.28677368,7.28000021,,24.40084076,53.92507935,,56.06106949,34.31600189,89.72586060,3.51223850,6.10375643,22.89264107,,,48.51326752,,,,76.05452728,,,16.40999985,38.73266602,50.96355438,,89.27999878,14.71000004,12.56318378,19.25813103
2020-01-30,214.28843689,11.64999962,,356.73999023,1.01250005,56.72793961,93.53399658,,,277.56420898,10.01000023,66.91999817,27.01746941,8.21000004,,,,,,,15.97599983,,50.72000122,23.35000038,,148.47000122,72.02709961,,,,,18.79999924,77.63999939,132.09111023,28.91046524,207.70599365,7.25000000,,24.11880302,53.66180038,,56.94070816,34.77399826,88.24301910,3.55715227,6.11047029,22.91937447,,,48.61357498,,,,75.66661835,,,16.68000031,42.72066879,49.72488785,,88.63999939,14.63000011,12.42392349,19.50180054
